,bookname,name
0,[30599],0
1,"[12100, 5148, 12100]",1
2,"[38893, 38890, 38891, 38892]",2
3,"[14433, 9888, 41098, 9889, 41101, 14444]",3
4,"[53000, 53000, 49304, 51402, 19777, 41129, 46134, 44238, 31505, 51107]",4
5,"[33986, 19534, 33995, 50469, 31523, 37783, 33968, 31579, 26402]",5
6,"[11471, 13661, 3471, 5660, 18887, 5577, 5509, 53012, 31523, 37100]",6
7,"[34401, 23141, 41566, 4723, 1636, 1610, 1655, 4723, 1968, 6343, 6363]",7
8,"[42330, 36216, 43863, 43726, 14640, 4052, 7608, 7523, 3735]",8
9,"[51594, 15064]",9
10,"[38174, 11807, 42074, 42118, 42484, 26395, 22500, 18079, 13397, 27471, 27472, 12455, 33719]",10
11,"[30599, 50054, 11242, 17674, 31952]",11
12,"[42562, 17968, 12427, 23456, 10646, 10941]",12
13,"[11919, 45241]",13
14,"[9817, 8320]",14
15,"[24745, 12839, 15511, 11093]",15
16,"[27766, 50392]",16
17,"[43561, 53005, 46038, 53003, 30814, 47957]",17
18,"[758, 9735, 28358, 28356, 17143, 24454, 17066, 17143, 24454, 758, 17066]",18
19,"[46464, 19893, 12931, 17227, 27149, 30124, 13576, 31414, 46757, 28709, 8820, 17450, 13652, 37611, 13581, 37654, 44245]",19
20,"[20694, 20696]",20
21,"[51525, 14570, 14571, 32512, 32513, 21404, 43482, 43481, 50864, 22889, 51141, 16553, 23378, 16554, 50972, 16554, 52058, 20256, 20257, 20258, 51982, 51392, 51391, 34902, 34901, 23574, 9013, 46105, 32118, 32118, 32118, 36407, 18551, 23055, 23053, 23054, 40543, 21908, 17807, 35513, 52099, 41710, 23244, 23243, 21455, 42563, 41711, 12228, 13621, 8152, 8153, 8151, 8150, 21459, 18530, 10443, 10442, 10447]",21
22,"[42680, 8111, 11279, 42650, 50097, 37871, 28425, 46620, 11430, 22132, 21902, 17585]",22
23,"[14782, 27923, 40725, 53135, 21821, 27524, 24705, 46447, 41821, 21839, 34433, 51539, 51538, 23485, 27756, 11403, 11402, 44238, 46133, 17350]",23
24,"[147, 41197, 16565, 41198, 16566, 17946, 11575, 48121, 19410, 27468, 9923, 12604, 22599, 16505, 27020, 27022, 27021, 23245, 46555, 17807, 17977, 52886, 17807, 46555]",24
25,"[20203, 8213]",25
26,[1569],26
27,"[51334, 12944, 23417, 23417, 33771, 17962, 14365, 21678, 36859, 35122, 36859, 51334, 23417]",27
28,"[11673, 9441, 51512, 8794, 9441, 49043, 8388, 14992]",28
29,"[51468, 27202, 46554, 22432, 22437, 52902, 13578, 9035, 17391, 52989, 48533, 47206, 41348, 30089, 21393, 21352, 8576, 31297, 49343, 44238, 39914, 39860, 39952, 39891, 22432, 22432, 33762, 47987, 8249, 46979, 50380, 50000, 16658, 48716, 34450, 18051, 23440, 21533, 52990, 20248, 8464, 8464, 17660, 37628, 23467, 11640]",29
30,"[37497, 8177, 17946, 36001, 23214, 27274, 34546]",30
31,"[15483, 15482, 25983, 40960, 41723, 28306, 28305, 34311, 34310, 15485, 15484, 46622, 15442, 15441, 21633, 21635, 21636, 21637, 52885, 22989, 22989, 40546, 40544, 52083, 42715, 52083, 42716, 42717, 42718, 36561, 34450, 50017, 50017, 45269, 41420, 17139, 21508, 21507, 33525, 21908, 33918, 50119, 50121, 50120, 52877, 48193, 48193, 22401, 22402, 22402, 52891, 52891, 47722, 47722, 46607, 37581, 40498, 40499, 19916, 40547, 40548, 12245, 37564, 8555, 8556, 27756, 32406, 32405, 41711, 41710, 52843, 52884, 52883, 27757]",31
32,"[50803, 18345, 27527]",32
33,"[11430, 50856, 23001, 52468, 11189, 45064, 21512, 21486, 22100, 36980, 8222, 23431, 23432, 12401, 23430, 23429, 45081, 40697, 51530, 15889, 42607, 11604, 32449, 34523, 27782]",33
34,"[42006, 22069, 20201, 39408, 19019, 39468, 12971, 33865, 33865, 49544, 8730, 40380, 13079, 28823, 37655, 18437, 30129, 11081, 48265, 44251, 20204, 37651, 46359, 46359, 27090, 40705, 26137, 50032, 26138]",34
35,"[15577, 11897, 23762, 17982, 22993, 22994, 16002, 49366, 22172, 22401, 22402, 15001, 15000, 21628, 21629, 41622, 14868, 32014, 51525, 51525, 40498, 40499, 8497, 51526, 14999, 14998, 16566, 16565, 48193, 48193, 16791, 27756, 27757, 40883, 40884, 32406, 32405, 47722, 47722, 34433, 34433, 23490, 23489, 8246, 41711, 41710, 50017, 50017, 36486, 36485, 32513, 32512, 24223, 24223, 8555, 8556, 42563, 50120, 50119, 50121, 31488, 35949, 52929, 28157, 28158, 24498, 41620, 33879, 33879, 11388, 11389, 51522, 51523, 21742, 27076, 15003, 16831, 14571, 14570, 14569, 34393, 51063, 21389, 31601, 17811, 51538, 51539, 37448, 37449, 52099, 27009, 21921, 21920, 45269, 14868, 11399, 33520, 21748, 21747]",35
36,"[21831, 38528, 26663, 51725, 40328, 13356, 28297, 15884, 16682, 37421, 21506, 38485, 50652, 18068, 18068, 48502, 41198, 41197, 19282, 25948, 42198, 11189]",36
37,"[39964, 49102, 1360, 49220, 44709, 8351, 45606, 1276, 1279, 6533, 41582, 34485]",37
38,"[44002, 9922, 34897, 34897, 11777, 22039]",38
39,"[25765, 46398, 37484, 53073, 23446, 23445, 41420, 38498, 46115, 8355]",39
40,"[31926, 21363, 40402, 40402, 8435, 32558, 40402, 21916, 15873, 50098, 23520, 46542, 34505, 50113, 8646, 27838, 21506]",40
41,"[37133, 4949, 4928, 3512, 3445, 42321, 12931, 18244, 2357, 21957, 12931, 11396, 11397, 11398, 12223, 29670, 13821, 22021]",41
42,"[15262, 15264, 13772, 13773, 11042, 13774, 10580, 31968, 51058, 42618, 42618, 46974, 46974, 20054, 199, 197, 198, 35083, 15263, 15815, 37282, 13801, 13800, 13797, 13799, 13798, 15264, 12898, 42529, 42516, 31565, 31564, 42632, 14976, 52256, 52257, 52258, 52254, 52255, 17872, 17871, 24490, 15132, 19211, 23403]",42
43,"[49639, 9425, 42908, 50088, 9425, 38945]",43
44,"[22079, 41197, 41198, 23484, 38349, 38348, 36988, 195, 37100, 31934, 19531, 32314, 53070, 12408, 42562, 11101, 19228, 46133, 44771, 31350, 13724, 28034, 11142, 27017, 41390, 31218]",44
45,"[45335, 41231, 41231, 34490, 23525, 50469, 32633, 22482, 22482, 18070, 18070, 37600, 37026, 37102, 34451, 23655, 23655, 34451, 52238, 26395, 22564, 47875, 47875, 52046, 32518, 21363, 42156, 15407, 51762, 23525, 34490, 41231, 41231, 50469, 15261, 51132, 13683, 46454, 46451, 46452, 46455, 46453, 46456]",45
46,"[20043, 20043, 19659, 19659, 19659]",46
47,"[3883, 51261, 51220, 51182, 51221, 51176, 3886, 22850, 51179, 17093, 15476, 41357, 41358, 34857]",47
48,"[41417, 32557, 32556, 28555, 9326, 9327, 9328, 42752, 44321, 40533, 49704, 52888, 17148]",48
49,[13326],49
50,"[15953, 16683, 9731, 19384, 48870, 22047, 18075, 34851, 17470, 18048, 18048, 9731, 14989, 34619, 34621, 15953, 8537, 40425, 46155, 13730, 31930]",50
51,"[219, 274, 13011, 316, 40799, 44719, 331, 44719, 40799, 316, 219, 274, 331, 13011, 18060, 17207, 21308, 31429, 17451, 44719, 28193, 47145, 49917, 40798, 44716, 47179, 40799, 29020, 37158, 35041]",51
52,"[37781, 18538, 40867, 45824, 846, 27113, 27111, 12353, 17489, 19312, 41349, 17486, 17490, 12296]",52
53,"[35564, 8799, 34827, 34826, 40452, 23421, 23076, 13370, 27454, 34825, 26788, 14350, 1078, 1131, 6978, 6977, 35564, 34827, 34826, 23421, 40452, 23076, 41013, 1007, 1008, 27454, 13370, 6979, 34825, 26788, 14350]",53
54,"[32199, 9235, 30578, 43037, 21053, 28856, 28853, 28857, 14250, 46554, 51991]",54
55,"[34760, 44712, 44713, 44714, 44724, 44715, 37159, 36710, 29018, 44739, 37159, 44741, 44741, 23145, 11811, 40191, 14873, 11946, 17879, 28964, 17856, 14873, 23140, 9757]",55
56,"[22889, 51141, 16553, 50864, 34315, 50171, 52202, 44238, 45301, 17972, 12027, 31559, 21948]",56
57,"[44761, 42631, 28239, 52974, 46826, 50855, 37179, 33776, 12272, 20206, 11162, 20204, 42631, 50361, 30503, 46614, 27151, 27152, 34445, 52892, 46522, 52883, 52887, 52886, 52885, 30129, 52231, 52230, 22612, 52232, 21617, 11478, 33724, 49863, 1085, 46193, 23395, 22411, 5769]",57
58,"[27506, 37517, 20197, 24724, 460, 51498, 36521, 33838, 358, 28, 48149]",58
59,"[42455, 20956, 21057, 21023, 20955, 23396, 51482, 15875, 15996, 18437, 21720, 46082, 24317, 51402, 32011, 32340, 26110, 13387, 19659, 19659, 19659, 46554]",59
60,"[48929, 3901, 42521, 42522, 42768, 42503, 42531, 42525, 42523]",60
61,"[23634, 27010, 45209, 12282, 11714, 23634, 47024, 13659, 4388, 17627, 46055, 34857, 8057, 46130, 46138, 33556, 18847, 18850, 37868, 18845, 52403, 20348, 29134, 20093]",61
62,"[42942, 42939, 52974, 20250, 34890]",62
63,"[21628, 21629, 17639, 40718, 52810, 26779, 43352, 35980, 37618, 32058, 40740, 33577, 51793, 27582, 27699, 17237, 23489, 23490, 8826, 46315, 46602, 46591, 12229, 37347, 17639, 32518, 52238, 50594]",63
64,"[23200, 26792, 32015, 17958, 11154, 35106, 51538, 51539, 37538, 32684, 37743, 15963, 21747, 49053, 9867, 21748, 10380, 8369, 9181, 48156, 21534, 44238, 27756, 27757, 8246, 29008, 28987, 19897, 16046, 18964, 26792, 40328, 34901, 34902, 23246, 16791, 11389, 11390, 11388, 21742, 9484, 37425, 10098, 10097, 8369, 9867, 24674, 36547, 9250, 23446, 23445, 32635, 46616, 17805, 16675, 21486]",64
65,"[15000, 51526]",65
66,"[50958, 36182]",66
67,"[8273, 11389, 52099, 40328, 40327, 11388, 5384, 10897, 5411, 10911, 170, 5414, 5424, 22971, 43213, 18362, 26490, 34394, 933, 40081, 49210, 43407, 38989, 43399, 38304, 38939, 39814, 38945, 11402, 11403]",67
68,"[43657, 47516, 36245, 1567, 7706, 36247, 37893, 26395, 20238]",68
69,"[11437, 22089]",69
